MAG	Completeness	Contamination	MiGA.Taxonomy
METABAT_VerySpecific.155	92.87	0.93	p__Proteobacteria
METABAT_VerySpecific.593	92.74	4.16	p__Chloroflexi
METABAT_VerySpecific.342	92.72	4.82	c__Actinobacteria
METABAT_VerySpecific.449	92.4	1.36	c__Gammaproteobacteria
METABAT_VerySpecific.6	92.2	1.8	p__Acidobacteria
METABAT_VerySpecific.91	92.19	1.71	d__Bacteria
METABAT_VerySpecific.675	92.08	0.99	p__Proteobacteria
METABAT_VerySpecific.233	92.08	0	p__Firmicutes
METABAT_VerySpecific.577	92.06	1.56	d__Bacteria
METABAT_VerySpecific.68	91.89	1.12	f__Acidiferrobacteraceae
METABAT_VerySpecific.164	91.67	0.79	c__Alphaproteobacteria
METABAT_VerySpecific.554	91.47	2.36	c__Spartobacteria
METABAT_VerySpecific.427	91.45	0	c__Acidobacteriia
METABAT_VerySpecific.507	91.36	1	c_Chitinophagia
METABAT_VerySpecific.109	91.26	0.97	p__Thaumarchaeota
METABAT_VerySpecific.483	91.22	4.89	p__Verrucomicrobia
METABAT_VerySpecific.187	91.01	0.87	c__Solibacteres
METABAT_VerySpecific.122	90.6	2.28	p__Proteobacteria
METABAT_VerySpecific.692	90.59	2.73	p__Verrucomicrobia
METABAT_VerySpecific.580	90.58	1.78	c__Acidobacteriia
METABAT_VerySpecific.27	90.57	0.85	p__Acidobacteria
METABAT_VerySpecific.333	90.29	0.07	c__Nitrososphaeria
METABAT_VerySpecific.3	90.22	3.39	c__Alphaproteobacteria
